request_id,amount_safe_to_pay,affordability_status,recommended_payment_method,payment_plan,earliest_date_for_full_payment,spending_changes_needed,decision_explanation
request_196,762.3,affordable_now,full_payment,2024-06-03:762.30,2024-06-03,none,Pay EUR 762.3 today. This leaves at least EUR 500 available over the next 90 days.
request_197,0,not_affordable,not_recommended,none,,none,Do not make this payment by 21 January 2026. None of the available options keeps the IDR 26245900 minimum protected.
request_198,185800,affordable_now,full_payment,2026-07-07:185800,2026-07-07,none,Pay INR 185800 today. This leaves at least INR 124300 available over the next 90 days.
request_199,23674000,affordable_with_plan,installments,2024-09-07:8206986.67|2024-10-08:8206986.67|2024-11-08:8206986.67,2024-09-04,none,"Use 3 installments of IDR 8206986.67, starting 7 September 2024. This leaves at least IDR 132630849.81 available."
request_200,21717000,affordable_now,full_payment,2025-02-06:21717000,2025-02-06,none,Pay IDR 21717000 today. This leaves at least IDR 20114600 available over the next 90 days.
request_201,23997000,affordable_now,full_payment,2026-04-03:23997000,2026-04-03,none,Pay IDR 23997000 today. This leaves at least IDR 17304500 available over the next 90 days.
request_202,123900,affordable_now,full_payment,2024-12-05:123900,2024-12-05,none,Pay INR 123900 today. This leaves at least INR 147800 available over the next 90 days.
request_203,1442.1,affordable_with_plan,installments,2025-05-10:499.93|2025-06-07:499.93|2025-07-05:499.93,2025-05-07,none,"Use 3 installments of EUR 499.93, starting 10 May 2025. This leaves at least EUR 6992.61 available."
request_204,588.74,affordable_now,full_payment,2026-01-04:588.74,2026-01-04,none,Pay EUR 588.74 today. This leaves at least EUR 1300 available over the next 90 days.
request_205,10621000,affordable_now,full_payment,2024-03-06:10621000,2024-03-06,none,Pay IDR 10621000 today. This leaves at least IDR 13994300 available over the next 90 days.
request_206,1404.7,affordable_with_plan,installments,2025-08-03:486.96|2025-08-31:486.96|2025-09-28:486.96,2025-08-03,none,"Use 3 installments of EUR 486.96, starting 3 August 2025. This leaves at least EUR 4150.09 available."
request_207,6276.24,affordable_later,wait,2026-07-15:11830,2026-07-15,none,Pay ZAR 11830 in full on 15 July 2026. Paying earlier would take the balance below the ZAR 13600 minimum.
request_208,2850617.9,affordable_later,wait,2024-06-15:4413000,2024-06-15,none,Pay IDR 4413000 in full on 15 June 2024. Paying earlier would take the balance below the IDR 10470700 minimum.
request_209,233.33,not_affordable,not_recommended,none,2026-01-15,none,Do not make this payment by 25 November 2025. None of the available options keeps the ZAR 18400 minimum protected.
request_210,720.77,affordable_with_plan,partial_payment,2026-04-06:720.77|2026-04-15:639.25,2026-04-15,none,Pay USD 720.77 today and the remaining USD 639.25 on 15 April 2026. This completes the full request and keeps the USD 2000 minimum protected.
request_211,196.2,affordable_later,wait,2024-09-15:1788.60,2024-09-15,none,Pay EUR 1788.6 in full on 15 September 2024. Paying earlier would take the balance below the EUR 1500 minimum.
request_212,318433.82,not_affordable,not_recommended,none,,none,Do not make this payment by 28 February 2025. None of the available options keeps the IDR 29579800 minimum protected.
request_213,2445.02,not_affordable,not_recommended,none,,none,Do not make this payment by 22 March 2026. None of the available options keeps the USD 2100 minimum protected.
request_214,18998.76,affordable_with_plan,partial_payment,2024-12-04:18998.76|2024-12-15:50751.24,2024-12-15,none,Pay INR 18998.76 today and the remaining INR 50751.24 on 15 December 2024. This completes the full request and keeps the INR 174900 minimum protected.
request_215,29986,affordable_with_plan,installments,2025-05-09:10395.15|2025-06-06:10395.15|2025-07-04:10395.15,2025-05-06,none,"Use 3 installments of ZAR 10395.15, starting 9 May 2025. This leaves at least ZAR 81210.74 available."
request_216,423.53,not_affordable,not_recommended,none,,none,Do not make this payment by 15 September 2026. None of the available options keeps the USD 1800 minimum protected.
request_217,19089.02,affordable_with_plan,installments,2024-03-19:12889.07|2024-04-19:12889.07|2024-05-20:12889.07,2024-03-15,none,"Use 3 installments of ZAR 12889.07, starting 19 March 2024. This leaves at least ZAR 45889.02 available."
request_218,25224833.7,affordable_with_plan,installments,2025-08-07:21195893.33|2025-09-04:21195893.33|2025-10-02:21195893.33,2025-08-15,none,"Use 3 installments of IDR 21195893.33, starting 7 August 2025. This leaves at least IDR 38506140.41 available."
request_219,639.41,affordable_with_plan,installments,2026-04-07:580.01|2026-05-07:580.01|2026-06-06:580.01,2026-04-15,none,"Use 3 installments of EUR 580.01, starting 7 April 2026. This leaves at least EUR 1159.4 available."
request_220,180.76,not_affordable,not_recommended,none,,none,Do not make this payment by 3 July 2024. None of the available options keeps the EUR 1100 minimum protected.
request_221,109800,affordable_now,full_payment,2025-11-03:109800,2025-11-03,none,Pay INR 109800 today. This leaves at least INR 81500 available over the next 90 days.
request_222,34078,affordable_now,full_payment,2026-01-05:34078,2026-01-05,none,Pay ZAR 34078 today. This leaves at least ZAR 27300 available over the next 90 days.
request_223,898.7,affordable_now,full_payment,2024-09-07:898.70,2024-09-07,none,Pay EUR 898.7 today. This leaves at least EUR 800 available over the next 90 days.
request_224,8386576.02,affordable_with_plan,installments,2025-02-04:5370040|2025-03-04:5370040,2025-04-15,stop:event_20518|stop:event_20519,"Use 2 installments of IDR 5370040, starting 4 February 2025. This leaves at least IDR 22283796.41 available."
request_225,9269247.49,affordable_with_plan,installments,2026-07-20:7647120|2026-08-19:7647120|2026-09-18:7647120,2026-09-15,none,"Use 3 installments of IDR 7647120, starting 20 July 2026. This leaves at least IDR 19407110.2 available."
request_226,157000,affordable_now,full_payment,2024-12-03:157000,2024-12-03,none,Pay INR 157000 today. This leaves at least INR 209400 available over the next 90 days.
request_227,7131.82,not_affordable,not_recommended,none,,none,Do not make this payment by 20 June 2025. None of the available options keeps the INR 62900 minimum protected.
request_228,0,not_affordable,not_recommended,none,,none,Do not make this payment by 30 April 2026. None of the available options keeps the IDR 26191200 minimum protected.
request_229,382.32,affordable_with_plan,installments,2024-03-18:529.29|2024-04-18:529.29|2024-05-19:529.29,2024-05-15,stop:event_21003|stop:event_21004,"Use 3 installments of EUR 529.29, starting 18 March 2024. This leaves at least EUR 1022.83 available."
request_230,3537.6,affordable_now,full_payment,2025-08-06:3537.60,2025-08-06,none,Pay EUR 3537.6 today. This leaves at least EUR 2000 available over the next 90 days.
request_231,31077.27,affordable_with_plan,installments,2026-01-06:12378.08|2026-02-05:12378.08|2026-03-07:12378.08,2026-01-15,none,"Use 3 installments of ZAR 12378.08, starting 6 January 2026. This leaves at least ZAR 42999.19 available."
request_232,752.75,affordable_later,wait,2024-08-15:1970.10,2024-08-15,none,Pay EUR 1970.1 in full on 15 August 2024. Paying earlier would take the balance below the EUR 2400 minimum.
request_233,0,not_affordable,not_recommended,none,,none,Do not make this payment by 17 December 2025. None of the available options keeps the IDR 10365700 minimum protected.
request_234,151.54,affordable_later,wait,2026-09-15:1213.30,2026-09-15,none,Pay EUR 1213.3 in full on 15 September 2026. Paying earlier would take the balance below the EUR 700 minimum.
request_235,967.2,affordable_now,full_payment,2024-09-06:967.20,2024-09-06,none,Pay USD 967.2 today. This leaves at least USD 700 available over the next 90 days.
request_236,7443718,not_affordable,not_recommended,none,,none,Do not make this payment by 23 February 2025. None of the available options keeps the IDR 16768600 minimum protected.
request_237,23826000,affordable_now,full_payment,2026-04-05:23826000,2026-04-05,none,Pay IDR 23826000 today. This leaves at least IDR 22431500 available over the next 90 days.
request_238,663.6,affordable_with_plan,installments,2024-12-07:230.05|2025-01-07:230.05|2025-02-07:230.05,2024-12-07,none,"Use 3 installments of USD 230.05, starting 7 December 2024. This leaves at least USD 1422.31 available."
request_239,634.4,affordable_later,wait,2025-05-15:642,2025-05-15,none,Pay USD 642 in full on 15 May 2025. Paying earlier would take the balance below the USD 600 minimum.
request_240,15809.74,not_affordable,not_recommended,none,,none,Do not make this payment by 20 March 2026. None of the available options keeps the INR 52800 minimum protected.
request_241,21052000,affordable_with_plan,installments,2024-03-17:7298026.67|2024-04-17:7298026.67|2024-05-18:7298026.67,2024-03-03,none,"Use 3 installments of IDR 7298026.67, starting 17 March 2024. This leaves at least IDR 80478711.74 available."
request_242,0,not_affordable,not_recommended,none,,none,Do not make this payment by 25 August 2025. None of the available options keeps the EUR 600 minimum protected.
request_243,17468,affordable_now,full_payment,2026-07-07:17468,2026-07-07,none,Pay ZAR 17468 today. This leaves at least ZAR 19900 available over the next 90 days.
request_244,49918,affordable_now,full_payment,2024-06-04:49918,2024-06-04,none,Pay ZAR 49918 today. This leaves at least ZAR 45900 available over the next 90 days.
request_245,0,not_affordable,not_recommended,none,,none,Do not make this payment by 15 January 2026. None of the available options keeps the INR 94600 minimum protected.
request_246,64086,affordable_with_plan,installments,2026-04-03:22216.48|2026-05-03:22216.48|2026-06-02:22216.48,2026-04-03,none,"Use 3 installments of ZAR 22216.48, starting 3 April 2026. This leaves at least ZAR 155072.11 available."
request_247,1059.3,affordable_now,full_payment,2024-09-05:1059.30,2024-09-05,none,Pay EUR 1059.3 today. This leaves at least EUR 1300 available over the next 90 days.
request_248,977.62,affordable_with_plan,partial_payment,2025-02-07:977.62|2025-02-15:987.98,2025-02-15,none,Pay USD 977.62 today and the remaining USD 987.98 on 15 February 2025. This completes the full request and keeps the USD 1300 minimum protected.
request_249,138.75,affordable_later,wait,2026-03-15:643.20,2026-03-15,none,Pay USD 643.2 in full on 15 March 2026. Paying earlier would take the balance below the USD 600 minimum.
request_250,17762.28,affordable_with_plan,partial_payment,2024-12-06:17762.28|2025-01-15:106515.72,2025-01-15,none,Pay ZAR 17762.28 today and the remaining ZAR 106515.72 on 15 January 2025. This completes the full request and keeps the ZAR 35300 minimum protected.
request_251,1513.6,not_affordable,not_recommended,none,2025-05-03,none,Do not make this payment by 6 June 2025. None of the available options keeps the EUR 1300 minimum protected.
request_252,5200297.2,affordable_later,wait,2026-08-15:28082000,2026-08-15,none,Pay IDR 28082000 in full on 15 August 2026. Paying earlier would take the balance below the IDR 15152200 minimum.
request_253,958.49,not_affordable,not_recommended,none,,none,Do not make this payment by 1 June 2024. None of the available options keeps the EUR 2300 minimum protected.
request_254,705.51,affordable_later,wait,2025-09-15:3535.20,2025-09-15,none,Pay USD 3535.2 in full on 15 September 2025. Paying earlier would take the balance below the USD 2500 minimum.
request_255,3345000,affordable_now,full_payment,2026-04-06:3345000,2026-04-06,none,Pay IDR 3345000 today. This leaves at least IDR 9813900 available over the next 90 days.
request_256,170322.62,affordable_with_plan,installments,2024-06-10:75816|2024-07-11:75816|2024-08-11:75816,2024-07-15,none,"Use 3 installments of INR 75816, starting 10 June 2024. This leaves at least INR 193142.53 available."
request_257,408.26,affordable_later,wait,2025-11-15:1352.40,2025-11-15,none,Pay USD 1352.4 in full on 15 November 2025. Paying earlier would take the balance below the USD 1600 minimum.
request_258,1113.6,affordable_now,full_payment,2026-01-07:1113.60,2026-01-07,none,Pay USD 1113.6 today. This leaves at least USD 500 available over the next 90 days.
request_259,177.66,affordable_later,wait,2024-11-15:935,2024-11-15,none,Pay EUR 935 in full on 15 November 2024. Paying earlier would take the balance below the EUR 600 minimum.
request_260,7866654.99,affordable_with_plan,partial_payment,2025-02-06:7866654.99|2025-03-15:44212345.01,2025-03-15,none,Pay IDR 7866654.99 today and the remaining IDR 44212345.01 on 15 March 2025. This completes the full request and keeps the IDR 20727700 minimum protected.
request_261,1830.4,affordable_now,full_payment,2026-07-03:1830.40,2026-07-03,none,Pay EUR 1830.4 today. This leaves at least EUR 1500 available over the next 90 days.
request_262,9236000,affordable_now,full_payment,2024-12-05:9236000,2024-12-05,none,Pay IDR 9236000 today. This leaves at least IDR 31018500 available over the next 90 days.
request_263,0,not_affordable,not_recommended,none,,none,Do not make this payment by 15 June 2025. None of the available options keeps the ZAR 24100 minimum protected.
request_264,26863.74,affordable_later,wait,2026-05-15:111300,2026-05-15,none,Pay INR 111300 in full on 15 May 2026. Paying earlier would take the balance below the INR 59500 minimum.
request_265,0,not_affordable,not_recommended,none,,none,Do not make this payment by 21 March 2024. None of the available options keeps the INR 189700 minimum protected.
request_266,756.97,not_affordable,not_recommended,none,2025-09-15,none,Do not make this payment by 3 October 2025. None of the available options keeps the EUR 900 minimum protected.
request_267,313.12,not_affordable,not_recommended,none,,none,Do not make this payment by 17 March 2026. None of the available options keeps the EUR 1500 minimum protected.
request_268,1134.52,affordable_with_plan,installments,2024-06-14:841.22|2024-07-15:841.22|2024-08-15:841.22,2024-08-15,none,"Use 3 installments of EUR 841.22, starting 14 June 2024. This leaves at least EUR 1693.3 available."
request_269,0,not_affordable,not_recommended,none,,none,Do not make this payment by 2 January 2026. None of the available options keeps the ZAR 23100 minimum protected.
request_270,183.44,not_affordable,not_recommended,none,2026-08-15,none,Do not make this payment by 30 August 2026. None of the available options keeps the USD 1400 minimum protected.
request_271,0,not_affordable,not_recommended,none,,none,Do not make this payment by 15 November 2024. None of the available options keeps the INR 58200 minimum protected.
request_272,6128654.63,affordable_with_plan,installments,2025-02-12:4709466.67|2025-03-12:4709466.67|2025-04-09:4709466.67,2025-03-15,none,"Use 3 installments of IDR 4709466.67, starting 12 February 2025. This leaves at least IDR 8927787.96 available."
request_273,10756514.78,affordable_with_plan,partial_payment,2026-04-07:10756514.78|2026-04-15:5104485.22,2026-04-15,none,Pay IDR 10756514.78 today and the remaining IDR 5104485.22 on 15 April 2026. This completes the full request and keeps the IDR 18774600 minimum protected.
request_274,1895.9,not_affordable,not_recommended,none,,none,Do not make this payment by 11 February 2025. None of the available options keeps the EUR 1800 minimum protected.
request_275,15884000,affordable_now,full_payment,2025-05-06:15884000,2025-05-06,none,Pay IDR 15884000 today. This leaves at least IDR 12760100 available over the next 90 days.
